Time [s],Channel 2
10.564912833,1
10.565010958,0
10.565112875,1
10.565211000,0
10.565313542,1
10.565411083,0
10.565512875,1
10.565611083,0
10.565713000,1
10.565811125,0
10.565912958,1
10.566011167,0
10.566113042,1
10.566211208,0
10.566313042,1
10.566411250,0
10.566513083,1
10.566611292,0
10.566713208,1
10.566811292,0
10.566913125,1
10.567011333,0
10.567113250,1
10.567211375,0
10.567313250,1
10.567411417,0
10.567513333,1
10.567611417,0
10.567713375,1
10.567811458,0
10.567913375,1
10.568011500,0
10.568113417,1
10.568211542,0
10.568313417,1
10.568411583,0
10.568513458,1
10.568611625,0
10.568713542,1
10.568811625,0
10.568913542,1
10.569011667,0
10.569113583,1
10.569211708,0
10.569313625,1
10.569411750,0
10.569513625,1
10.569611792,0
10.569713708,1
10.569811833,0
10.569913750,1
10.570011833,0
10.570113792,1
10.570211875,0
10.570313833,1
10.570411958,0
10.570513833,1
10.570611958,0
10.570713875,1
10.570812042,0
10.570913917,1
10.571012042,0
10.571114000,1
10.571212083,0
10.571313958,1
10.571412125,0
10.571514042,1
10.571612125,0
10.571714042,1
10.571812167,0
10.571914083,1
10.572012208,0
10.572114000,1
10.572212250,0
10.572314125,1
10.572412292,0
10.572514208,1
10.572612292,0
10.572714208,1
10.572812333,0
10.572914250,1
10.573012375,0
10.573114333,1
10.573212417,0
10.573314292,1
10.573412458,0
10.573514417,1
10.573612500,0
10.573714375,1
10.573812542,0
10.573914417,1
10.574012542,0
10.574114417,1
10.574212625,0
10.574314500,1
10.574412667,0
10.574514542,1
10.574612667,0
10.574714583,1
10.574812708,0
10.574914625,1
10.575012750,0
10.575114667,1
10.575212750,0
10.575314708,1
10.575412833,0
10.575514667,1
10.575612833,0
10.575714708,1
10.575812875,0
10.575914833,1
10.576012917,0
10.576114750,1
10.576212958,0
10.576314875,1
10.576413292,0
10.576514875,1
10.576613000,0
10.576714958,1
10.576813042,0
10.576914958,1
10.577013083,0
10.577115000,1
10.577213125,0
10.577315042,1
10.577413167,0
10.577515083,1
10.577613208,0
10.577715083,1
10.577813208,0
10.577915167,1
10.578013250,0
10.578115167,1
10.578213292,0
10.578315250,1
10.578413375,0
10.578515250,1
10.578613375,0
10.578715250,1
10.578813417,0
10.578915333,1
10.579013417,0
10.579116500,1
10.579214083,0
10.579316083,1
10.579414250,0
10.579516042,1
10.579614208,0
10.579716125,1
10.579814250,0
10.579917292,1
10.580024625,0
10.580125833,1
10.580224000,0
10.580326333,1
10.580423917,0
10.580525792,1
10.580624000,0
10.580726333,1
10.580825417,0
10.580921458,1
10.581019583,0
10.581123083,1
10.581214875,0
10.581316833,1
10.581415000,0
10.581516875,1
10.581615042,0
10.581716875,1
10.581815042,0
10.581916958,1
10.582015083,0
