Time [s],Channel 0,Channel 1,Channel 2,Channel 3
11.100929042,0,0,1,0
11.101610500,0,1,1,0
11.101631500,0,1,1,1
11.129729750,1,1,1,1
11.130412708,1,0,1,1
11.130436250,1,0,1,0
11.150930458,0,0,1,0
11.151616708,0,1,1,0
11.151644375,0,1,1,1
11.179729875,1,1,1,1
11.180418958,1,0,1,1
11.180449708,1,0,1,0
11.200929208,0,0,1,0
11.201622958,0,1,1,0
11.201657833,0,1,1,1
11.229729958,1,1,1,1
11.250930625,0,1,1,1
11.251627583,0,0,1,1
11.251669708,0,0,1,0
11.279730042,1,0,1,0
11.300929375,0,0,1,0
11.301635417,0,1,1,0
11.329730125,1,1,1,0
11.350933292,0,1,1,0
11.379731500,1,1,1,0
11.380443917,1,0,1,0
11.400929583,0,0,1,0
11.401647917,0,1,1,0
11.429734875,1,1,1,0
11.430450125,1,0,1,0
11.450929667,0,0,1,0
11.451654167,0,1,1,0
11.479730417,1,1,1,0
11.480456375,1,0,1,0
11.500929750,0,0,1,0
11.529730417,1,0,1,0
11.550929833,0,0,1,0
11.579731875,1,0,1,0
11.580470500,1,1,1,0
11.600929917,0,1,1,0
11.601671250,0,0,1,0
11.629730667,1,0,1,0
11.650931292,0,0,1,0
11.651679417,0,1,1,0
11.679730750,1,1,1,0
11.700930083,0,1,1,0
11.729730833,1,1,1,0
11.730487542,1,0,1,0
11.750930167,0,0,1,0
11.779730917,1,0,1,0
11.800930250,0,0,1,0
11.829731000,1,0,1,0
11.850930333,0,0,1,0
11.879731042,1,0,1,0
11.900931708,0,0,1,0
11.929731125,1,0,1,0
11.950930500,0,0,1,0
11.979731208,1,0,1,0
12.000930583,0,0,1,0
12.029731333,1,0,1,0
12.050931958,0,0,1,0
12.079731417,1,0,1,0
12.080378042,1,0,0,0
12.100930750,0,0,0,0
12.101588833,0,0,1,0
12.129731500,1,0,1,0
12.130391417,1,0,0,0
12.150930833,0,0,0,0
12.151597667,0,0,1,0
12.179731542,1,0,1,0
12.180400250,1,0,0,0
12.200930875,0,0,0,0
12.201606667,0,0,1,0
12.229732208,1,0,1,0
12.230310125,1,0,0,0
12.250930958,0,0,0,0
12.251615417,0,0,1,0
12.251633125,0,0,1,1
12.279731750,1,0,1,1
12.280418000,1,0,0,1
12.300931042,0,0,0,1
12.301624250,0,0,1,1
12.301652167,0,0,1,0
12.329731792,1,0,1,0
12.330327000,1,0,0,0
12.330361333,1,0,0,1
12.350931125,0,0,0,1
12.351633125,0,0,1,1
12.351665625,0,0,1,0
12.379731875,1,0,1,0
12.380336750,1,0,0,0
12.380374167,1,0,0,1
12.400931208,0,0,0,1
12.401479042,0,0,0,0
12.401542083,0,0,1,0
12.429732000,1,0,1,0
12.430387667,1,0,1,1
12.430444583,1,0,0,1
12.450931292,0,0,0,1
12.451592667,0,0,0,0
12.451650833,0,0,1,0
12.479732042,1,0,1,0
12.480401125,1,0,1,1
12.480401167,1,0,1,0
12.480401375,1,0,1,1
12.480453458,1,0,0,1
12.500931375,0,0,0,1
12.501560083,0,0,1,1
12.501606125,0,0,1,0
12.529732125,1,0,1,0
12.530414583,1,0,1,1
12.530462292,1,0,0,1
12.550931458,0,0,0,1
12.551568458,0,0,1,1
12.551568500,0,0,0,1
12.551568917,0,0,1,1
12.551619583,0,0,1,0
12.579732208,1,0,1,0
12.580428083,1,0,1,1
12.580471167,1,0,0,1
12.600931542,0,0,0,1
12.601577625,0,0,1,1
12.601633042,0,0,1,0
12.629732292,1,0,1,0
12.630341333,1,0,1,1
12.630380167,1,0,0,1
12.650932958,0,0,0,1
12.651646500,0,0,0,0
12.651687458,0,0,1,0
12.679732333,1,0,1,0
12.680389917,1,0,0,0
12.680455000,1,0,0,1
12.700931708,0,0,0,1
12.701562917,0,0,0,0
12.701595292,0,0,1,0
12.729732417,1,0,1,0
12.730397875,1,0,0,0
12.730468500,1,0,0,1
12.750931792,0,0,0,1
12.751573208,0,0,0,0
12.751603917,0,0,1,0
12.779732542,1,0,1,0
12.780381708,1,0,1,1
12.780407625,1,0,0,1
12.800931875,0,0,0,1
